время работы;время простоя;Коэф. продуктивности. м3/сут/атм;класс
24.00;696.00;0.06;0
744.00;0.00;0.06;0
691.00;29.00;0.06;3
744.00;0.00;0.06;2
744.00;0.00;0.06;5
612.00;60.00;0.06;4
744.00;0.00;0.06;6
696.00;24.00;0.06;6
720.00;24.00;0.06;6
720.00;0.00;0.06;7
744.00;0.00;0.06;7
734.00;10.00;0.06;7
720.00;0.00;0.06;7
720.00;24.00;0.06;8
720.00;0.00;0.06;10
732.00;12.00;0.06;10
720.00;24.00;0.06;10
696.00;0.00;0.06;10
744.00;0.00;0.06;10
554.00;166.00;0.06;10
456.00;288.00;0.06;6
696.00;24.00;0.06;9
744.00;0.00;0.06;10
640.00;104.00;0.06;8
528.00;192.00;0.06;7
566.00;178.00;0.06;8
720.00;0.00;0.06;8
744.00;0.00;0.06;8
744.00;0.00;0.06;9
672.00;0.00;0.06;8
744.00;0.00;0.06;8
717.00;3.00;0.06;8
744.00;0.00;0.06;8
648.00;72.00;0.06;7
744.00;0.00;0.06;8
720.00;14.00;0.06;8
720.00;0.00;0.06;6
744.00;0.00;0.06;6
720.00;0.00;0.06;7
744.00;0.00;0.06;7
744.00;0.00;0.06;7
672.00;0.00;0.06;5
732.00;12.00;0.06;6
511.00;209.00;0.06;4
448.00;296.00;0.06;4
648.00;72.00;0.06;6
727.00;17.00;0.06;7
696.00;48.00;0.06;8
720.00;0.00;0.06;6
744.00;0.00;0.06;3
33.00;687.00;0.06;0
0.00;744.00;0.06;0
0.00;744.00;0.06;0
0.00;672.00;0.06;0
0.00;744.00;0.06;0
0.00;720.00;0.06;0
696.00;48.00;0.06;5
705.00;15.00;0.06;5
477.00;267.00;0.06;3
717.00;27.00;0.06;5
720.00;0.00;0.06;5
724.00;20.00;0.06;6
422.00;298.00;0.06;3
739.00;5.00;0.06;6
715.00;29.00;0.06;5
696.00;0.00;0.06;3
744.00;0.00;0.06;3
720.00;0.00;0.06;6
744.00;0.00;0.06;7
720.00;0.00;0.06;5
744.00;0.00;0.06;5
720.00;24.00;0.17;4
720.00;0.00;0.17;4
744.00;0.00;0.17;4
619.00;101.00;0.17;4
724.00;20.00;0.63;5
744.00;0.00;0.63;5
672.00;0.00;0.63;5
729.00;15.00;0.63;5
720.00;0.00;0.63;4
691.00;53.00;0.63;4
720.00;0.00;0.63;6
744.00;0.00;0.63;7
729.00;15.00;0.63;7
720.00;0.00;0.63;7
717.00;27.00;0.63;7
720.00;0.00;0.63;7
739.00;5.00;0.63;7
729.00;15.00;0.63;5
667.00;5.00;0.63;4
744.00;0.00;0.63;5
720.00;0.00;0.63;5
727.00;17.00;0.63;5
621.00;99.00;0.63;4
703.00;41.00;0.63;6
744.00;0.00;0.63;8
720.00;0.00;0.63;4
744.00;0.00;0.63;3
576.00;144.00;0.63;2
732.00;12.00;0.63;3
744.00;0.00;0.63;2
662.00;10.00;0.63;3
744.00;0.00;0.63;4
571.00;149.00;0.63;3
724.00;20.00;0.63;4
708.00;12.00;0.63;3
652.00;92.00;0.63;3
744.00;0.00;0.63;4
720.00;0.00;0.63;3
744.00;0.00;0.63;6
715.00;5.00;0.63;5
669.00;75.00;0.63;4
744.00;0.00;0.63;5
695.00;1.00;0.63;4
744.00;0.00;0.63;4
719.00;1.00;0.63;6
722.00;22.00;0.63;3
542.00;178.00;0.63;2
626.00;118.00;0.63;5
744.00;0.00;0.63;6
720.00;0.00;0.63;6
744.00;0.00;0.63;6
643.00;77.00;0.63;5
741.00;3.00;0.63;6
740.00;4.00;0.63;6
669.00;3.00;0.19;4
744.00;0.00;0.19;4
720.00;0.00;0.06;3
744.00;0.00;0.06;2
698.00;22.00;0.06;2
741.00;3.00;0.06;2
626.00;118.00;0.06;2
720.00;0.00;0.06;2
744.00;0.00;0.06;2
454.00;266.00;0.06;1
744.00;0.00;0.06;1
744.00;0.00;0.06;1
672.00;0.00;0.06;1
744.00;0.00;0.06;1
720.00;0.00;0.06;1
668.00;76.00;0.06;1
671.00;49.00;0.06;1
744.00;0.00;0.06;2
744.00;0.00;0.06;2
697.00;23.00;0.06;2
744.00;0.00;0.06;2
720.00;0.00;0.06;2
648.00;96.00;0.06;2
744.00;0.00;0.06;1
672.00;0.00;0.06;1
744.00;0.00;0.06;1
696.00;24.00;0.06;1
545.00;199.00;0.06;1
720.00;0.00;0.06;1
744.00;0.00;0.06;1
744.00;0.00;0.06;1
720.00;0.00;0.06;1
720.00;24.00;0.06;1
719.00;1.00;0.06;1
718.00;26.00;0.06;1
725.00;19.00;0.06;1
696.00;0.00;0.06;1
744.00;0.00;0.06;1
719.00;1.00;0.06;1
619.00;125.00;0.06;1
720.00;0.00;0.06;2
744.00;0.00;0.06;2
744.00;0.00;0.06;1
720.00;0.00;0.06;1
744.00;0.00;0.06;1
720.00;0.00;0.06;2
555.00;189.00;0.06;1
744.00;0.00;0.06;2
672.00;0.00;0.06;2
744.00;0.00;0.06;2
720.00;0.00;0.06;2
744.00;0.00;0.06;1
720.00;0.00;0.06;1
739.00;5.00;0.06;2
744.00;0.00;0.06;1
563.00;157.00;0.06;1
732.00;12.00;0.06;2
720.00;0.00;0.06;1
744.00;0.00;0.06;1
744.00;0.00;0.06;3
496.00;176.00;0.06;1
744.00;0.00;0.06;3
720.00;0.00;0.06;3
744.00;0.00;0.06;2
488.00;232.00;0.06;1
744.00;0.00;0.06;2
744.00;0.00;0.06;2
720.00;0.00;0.06;2
744.00;0.00;0.06;2
720.00;0.00;0.06;2
638.00;106.00;0.06;2
689.00;55.00;0.06;2
128.00;408.00;0.06;0
712.00;32.00;0.17;3
717.00;3.00;0.17;3
744.00;0.00;0.17;3
720.00;0.00;0.17;3
744.00;0.00;0.63;3
744.00;0.00;0.63;3
720.00;0.00;0.63;3
70.00;674.00;0.63;0
56.00;664.00;0.63;0
0.00;744.00;0.63;0
120.00;624.00;0.63;0
0.00;696.00;0.63;0
0.00;744.00;0.63;0
590.00;130.00;0.63;2
110.00;634.00;0.63;0
720.00;0.00;0.63;3
744.00;0.00;0.63;2
744.00;0.00;0.63;2
720.00;0.00;0.63;2
744.00;0.00;0.63;3
596.00;124.00;0.63;2
744.00;0.00;0.63;3
690.00;54.00;0.63;3
672.00;0.00;0.63;3
744.00;0.00;0.63;3
720.00;0.00;0.63;3
744.00;0.00;0.63;3
595.00;125.00;0.63;2
689.00;55.00;0.63;3
425.00;319.00;0.63;1
475.00;245.00;0.63;1
744.00;0.00;0.63;3
720.00;0.00;0.63;3
744.00;0.00;0.63;3
744.00;0.00;0.63;4
480.00;192.00;0.63;2
744.00;0.00;0.63;4
720.00;0.00;0.63;3
744.00;0.00;0.63;4
649.00;71.00;0.63;4
712.00;32.00;0.63;3
592.00;152.00;0.63;2
720.00;0.00;0.63;2
418.00;326.00;0.63;1
720.00;0.00;0.63;2
720.00;24.00;0.63;2
696.00;48.00;0.63;2
665.00;7.00;0.63;2
744.00;0.00;0.63;2
528.00;192.00;0.63;2
576.00;168.00;0.63;3
720.00;0.00;0.63;4
624.00;120.00;0.63;3
744.00;0.00;0.63;3
696.00;24.00;0.19;2
744.00;0.00;0.19;3
602.00;118.00;0.06;2
600.00;144.00;0.06;2
744.00;0.00;0.06;3
696.00;0.00;0.06;2
744.00;0.00;0.06;2
720.00;0.00;0.06;2
741.00;3.00;0.06;2
703.00;17.00;0.06;2
738.00;6.00;0.06;2
687.00;57.00;0.06;1
518.00;202.00;0.06;0
670.00;74.00;0.06;1
717.00;3.00;0.06;1
744.00;0.00;0.06;2
744.00;0.00;0.06;2
550.00;122.00;0.06;1
